Product Name,Set Name,Sell Price
"Ulasht, the Hate Seed",Guildpact,1.96
Orzhov Basilica,Guildpact,0.26
Dimir Aqueduct,Planechase 2012 Edition,1.08
Elderwood Scion,Planechase 2012 Edition,0.99
Etherium-Horn Sorcerer,Planechase 2012 Edition,1.19
Shriekmaw,Archenemy,1.28
Ghostly Prison,Planechase 2012 Edition,3.49
Glen Elendra Liege,Planechase 2012 Edition,2.16
Gruul Turf,Planechase 2012 Edition,0.57
Hyena Umbra,Planechase 2012 Edition,2.49
Indrik Umbra,Planechase 2012 Edition,1.15
Kor Spiritdancer,Planechase 2012 Edition,6.23
Krosan Verge,Planechase 2012 Edition,1.69
Cultivate,Planechase 2012 Edition,1.58
Grim Feast,Mirage,0.89
Mycoloth,Planechase 2012 Edition,2.09
Okiba-Gang Shinobi,Planechase 2012 Edition,0.38
Peregrine Drake,Planechase 2012 Edition,1.52
Rancor,Planechase 2012 Edition,2.17
Shardless Agent,Planechase 2012 Edition,3.30
Sigil of the Empty Throne,Planechase 2012 Edition,1.24
Silent-Blade Oni,Planechase 2012 Edition,4.75
Silhana Ledgewalker,Planechase 2012 Edition,1.00
Tainted Isle,Planechase 2012 Edition,3.14
Vela the Night-Clad,Planechase 2012 Edition,2.91
Vivid Creek,Planechase 2012 Edition,0.44
Walker of Secret Ways,Planechase 2012 Edition,0.45
Whirlpool Warrior,Planechase 2012 Edition,1.01
Whispersilk Cloak,Planechase 2012 Edition,1.17
Alhammarret's Archive,Magic Origins,9.43
Forest - Unglued,Unglued,5.50
Dystopia,Alliances,0.73
Gorilla Shaman,Alliances,2.99
Heart of Yavimaya,Alliances,2.89
Kaysa,Alliances,2.20
Kjeldoran Outpost,Alliances,4.98
Austere Command,Magic: The Gathering-Commander,7.93
Sleight of Hand,Portal Second Age,9.01
Akroma's Vengeance,Magic: The Gathering-Commander,1.23
Mirrorweave,Shadowmoor,1.39
Comet Storm,Magic: The Gathering-Commander,0.91
Reiver Demon,Magic: The Gathering-Commander,0.88
Acorn Catapult,Magic: The Gathering-Commander,1.27
Izzet Signet,Magic: The Gathering-Commander,0.46
Dread Cacodemon,Magic: The Gathering-Commander,3.15
Archangel of Strife,Magic: The Gathering-Commander,1.16
Hydra Omnivore,Magic: The Gathering-Commander,3.50
Crescendo of War,Magic: The Gathering-Commander,0.87
Champion's Helm,Magic: The Gathering-Commander,12.04
Homeward Path,Magic: The Gathering-Commander,4.62
Mana-Charged Dragon,Magic: The Gathering-Commander,3.51
"Nin, the Pain Artist",Magic: The Gathering-Commander,4.43
Ruhan of the Fomori,Magic: The Gathering-Commander,1.77
Sewer Nemesis,Magic: The Gathering-Commander,5.49
"Vish Kal, Blood Arbiter",Magic: The Gathering-Commander,8.55
Avatar of Slaughter,Magic: The Gathering-Commander,2.86
Hornet Queen,Magic: The Gathering-Commander,1.99
Minds Aglow,Magic: The Gathering-Commander,1.57
Mortivore,Magic: The Gathering-Commander,1.25
Oblivion Ring,Magic: The Gathering-Commander,0.56
Terminate,Magic: The Gathering-Commander,1.66
Comeuppance,Commander 2014,2.06
Rakdos Carnarium,Magic: The Gathering-Commander,0.39
Electrolyze,Magic: The Gathering-Commander,0.75
Storm Herd,Magic: The Gathering-Commander,2.49
Stitch Together,Magic: The Gathering-Commander,1.06
Rite of Consumption,Shadowmoor,0.71
Angelic Arbiter,Magic: The Gathering-Commander,1.33
Cultivate,Magic: The Gathering-Commander,1.38
Oblivion Stone,Magic: The Gathering-Commander,10.41
Solemn Simulacrum,Magic: The Gathering-Commander,4.87
"Intet, the Dreamer",Magic: The Gathering-Commander,1.91
Pyrohemia,Magic: The Gathering-Commander,6.99
"Vorosh, the Hunter",Magic: The Gathering-Commander,1.23
Hull Breach,Magic: The Gathering-Commander,0.46
Extirpate,Modern Masters,5.05
Hour of Reckoning,Magic: The Gathering-Commander,2.43
Master Warcraft,Magic: The Gathering-Commander,0.85
Temple of the False God,Magic: The Gathering-Commander,0.50
Firespout,Magic: The Gathering-Commander,1.19
Living Death,Magic: The Gathering-Commander,5.51
Return to Dust,Magic: The Gathering-Commander,2.15
Yavimaya Elder,Magic: The Gathering-Commander,1.70
Sol Ring,Magic: The Gathering-Commander,3.14
Bojuka Bog,Magic: The Gathering-Commander,1.55
Journey to Nowhere,Magic: The Gathering-Commander,1.44
Vampire Nighthawk,Magic: The Gathering-Commander,0.85
Ajani's Pridemate,Duel Decks: Ajani vs. Nicol Bolas,0.55
Show and Tell,Urza's Saga,20.98
Lotus Blossom,Urza's Saga,1.29
Citanul Hierophants,Urza's Saga,1.50
Bedlam,Urza's Saga,0.65
Tranquil Grove,Weatherlight,0.68
Sleeper Agent,Urza's Saga,0.40
Scissors Lizard,Unglued,1.28
Opal Archangel,Urza's Saga,0.63
Priest of Titania,Urza's Saga,2.84
Rain of Filth,Urza's Saga,0.84
Urza's Power Plant,Eighth Edition,3.60
Umbilicus,Urza's Saga,0.43
Goblin Offensive,Urza's Saga,1.33
Exploration,Urza's Saga,19.53
Fault Line,Urza's Saga,0.99
Citanul Flute,Urza's Saga,1.77
"Barrin, Master Wizard",Urza's Saga,5.09
Gaea's Cradle,Urza's Saga,289.99
Phyrexian Tower,Urza's Saga,31.33
Avatar of Woe,Conspiracy: Take the Crown,1.89
Voltaic Key,Urza's Saga,1.44
Temporal Aperture,Urza's Saga,4.12
Sunder,Urza's Saga,4.04
Stroke of Genius,Urza's Saga,1.94
Shivan Hellkite,Urza's Saga,0.66
Fecundity,Urza's Saga,0.41
Attunement,Urza's Saga,0.68
Forest (107),Battle Royale Box Set,0.52
Boris Devilboon,Legends,17.49
Nantuko Shrine,Odyssey,0.45
Mindmoil,Ravnica: City of Guilds,3.05
Wheel of Torture,Urza's Legacy,0.41
Bone Shredder,Urza's Legacy,0.32
Viashino Heretic,Urza's Legacy,0.71
Hornet Queen,Magic 2015 Core Set,1.39
Spawning Pool,Urza's Legacy,0.26
Urza's Blueprints,Urza's Legacy,0.39
Pyromancy,Urza's Legacy,0.37
Engineered Plague,Urza's Legacy,0.37
Plow Under,Urza's Destiny,1.05
Eternal Flame,The Dark,1.80
Opalescence,Urza's Destiny,6.25
Alchor's Tomb,Legends,13.90
Repercussion,Urza's Destiny,8.30
Pattern of Rebirth,Urza's Destiny,4.22
Champion of Lambholt,Commander 2016,1.64
Covetous Dragon,Urza's Destiny,0.99
Consecrate Land,Limited Edition Alpha,11.43
Blood Moon,The Dark,52.06
Now I Know My ABC's,Unhinged,4.25
Blood Moon,Eighth Edition,22.47
Armageddon Clock,Antiquities,0.96
Armageddon,Starter 1999,3.47
Mana Crypt,Promo set for Gatherer,165.00
Invoke Prejudice,Legends,1275.00
Lord of Extinction,Alara Reborn,15.57
Zealous Persecution,Alara Reborn,0.55
Sigil of the Empty Throne,Conflux,1.04
Necromancer's Covenant,Alara Reborn,0.57
Dragon Broodmother,Alara Reborn,14.00
Swarmyard,Time Spiral,9.56
Magus of the Jar,Time Spiral,0.87
Squall Line,Time Spiral,0.50
Sungrass Prairie,Odyssey,2.40
Hero's Demise,Betrayers of Kamigawa,0.57
Mirari,"Time Spiral ""Timeshifted""",0.78
Momentary Blink,Time Spiral,0.26
Greater Gargadon,Time Spiral,3.50
Maze of Ith,The Dark,18.03
Cephalid Coliseum,Odyssey,1.65
Slippery Bogle,Eventide,1.62
Kederekt Parasite,Conflux,2.36
Soul Snuffers,Eventide,1.43
Kulrath Knight,Shadowmoor,3.37
Flickerwisp,Eventide,1.65
Giant Badger,Media Promos,1.19
Wistful Selkie,Eventide,0.47
Mindwrack Liege,Eventide,2.64
Murkfiend Liege,Eventide,2.45
Forest (349) ,Odyssey,1.59
Nobilis of War,Eventide,0.62
Spitting Image,Eventide,1.03
Pyrrhic Revival,Eventide,0.45
Tundra,Limited Edition Alpha,2447.97
Duergar Hedge-Mage,Eventide,0.36
Hallowed Moonlight,Magic Origins,0.51
Gaea's Herald,Tenth Edition,1.76
Sleeper Agent,Tenth Edition,0.54
Seedborn Muse,Tenth Edition,25.25
Seismic Assault,Tenth Edition,5.03
Warp World,Tenth Edition,0.53
Shatterstorm,Tenth Edition,2.49
Ral Zarek,Dragon's Maze,6.54
Rain of Tears,Tenth Edition,0.61
Sculpting Steel,Tenth Edition,7.55
Beacon of Unrest,Tenth Edition,2.86
Magister Sphinx,Conflux,3.04
Hurkyl's Recall,Antiquities,37.24
Extraplanar Lens,Mirrodin,17.62
Blue Elemental Blast,Limited Edition Alpha,29.99
Glissa Sunseeker,Mirrodin,1.00
"Selenia, Dark Angel",Tempest,1.03
"Ryusei, the Falling Star",Champions of Kamigawa,1.49
Auriok Steelshaper,Mirrodin,1.30
Fire Ambush,Portal Three Kingdoms,9.62
Animate Dead,Limited Edition Alpha,43.69
Quicksilver Elemental,Mirrodin,0.79
"Llawan, Cephalid Empress",Torment,1.13
Sculpting Steel,Mirrodin,6.90
Cabal Therapy,Eternal Masters,1.83
Isochron Scepter,Mirrodin,3.71
Darksteel Forge,Darksteel,8.99
Rule of Law,Mirrodin,1.99
Tooth and Nail,Mirrodin,17.74
Wall of Blood,Mirrodin,0.42
"Kiki-Jiki, Mirror Breaker",Modern Masters,9.86
Necrogen Mists,Mirrodin,3.87
Tower of Eons,Mirrodin,0.42
Wave of Reckoning,Mercadian Masques,0.65
Duplicant,Mirrodin,3.83
Confusion in the Ranks,Mirrodin,1.96
Fog Bank,Commander 2014,0.86
Troll Ascetic,Mirrodin,0.58
Ambush Commander,Scourge,1.49
Call to the Grave,Scourge,0.97
Forgotten Ancient,Scourge,1.78
Shrine of Burning Rage,New Phyrexia,0.67
Decree of Savagery,Scourge,0.62
Stabilizer,Scourge,0.48
Mind Twist,Fourth Edition,2.81
Cloudstone Curio,Ravnica: City of Guilds,9.71
Autochthon Wurm,Ravnica: City of Guilds,0.74
Archetype of Endurance,Born of the Gods,1.00
Wild Defiance,Avacyn Restored,1.04
Blazing Archon,Ravnica: City of Guilds,1.63
Mortify,Conspiracy,0.85
Fog Bank,Magic 2013,0.78
Netherborn Phalanx,Ravnica: City of Guilds,0.38
Barktooth Warbeard,Legends,0.85
"Razia, Boros Archangel",Ravnica: City of Guilds,1.32
Selesnya Sanctuary,Ravnica: City of Guilds,0.25
Wall of Blossoms,Stronghold,0.85
Gauntlet of Might (IE),International Edition,50.00
Warren Instigator,Zendikar,7.32
"Garruk, Primal Hunter",Magic 2013,6.25
Earthquake,Revised Edition,0.50
Fork,Revised Edition,11.50
Mana Flare,Revised Edition,2.22
"Ob Nixilis, the Fallen",Zendikar,5.70
Wild Growth,Limited Edition Alpha,5.99
Dormant Sliver,Planar Chaos,1.00
Rebuff the Wicked,Planar Chaos,2.39
Explosive Vegetation,Onslaught,0.90
Sunlance,Planar Chaos,0.17
Groundbreaker,Planar Chaos,2.30
Oblivion Ring,Duel Decks: Knights vs. Dragons,1.17
"Skullbriar, the Walking Grave",Magic: The Gathering-Commander,7.47
"Athreos, God of Passage",Journey into Nyx,10.76
Serum Powder,Darksteel,2.49
Altar of Shadows,Mirrodin,0.45
Torchling,Planar Chaos,0.36
Detritivore,Planar Chaos,0.46
Pernicious Deed,Apocalypse,5.38
Timecrafting,Planar Chaos,0.49
Mossfire Valley,Odyssey,4.32
Pieces of the Puzzle,Shadows over Innistrad,0.16
Cabal Pit,Odyssey,0.22
Darkwater Catacombs,Odyssey,3.39
Promise of Power,Mirrodin,0.49
Zombify,Odyssey,0.43
Kirtar's Wrath,Odyssey,0.50
Gravestorm,Odyssey,1.14
Standstill,Odyssey,2.82
Molten Influence,Odyssey,1.35
Harrow,Magic Player Rewards,2.08
Mirror-Sigil Sergeant,Conflux,1.90
Catalyst Stone,Odyssey,0.52
Deserted Temple,Odyssey,10.19
Eight-and-a-Half-Tails,Champions of Kamigawa,2.85
Gilder Bairn,Eventide,3.50
Rakdos the Defiler,Dissension,3.62
Tarnished Citadel,Odyssey,3.50
Cultural Exchange,Odyssey,2.66
Lieutenant Kirtar,Odyssey,0.95
Divert,Odyssey,1.79
Polymorph,Mirage,1.30
Burgeoning,Conspiracy: Take the Crown,4.41
Upheaval,Odyssey,1.61
Candelabra of Tawnos,Antiquities,600.00
Ashnod's Altar,Antiquities,10.62
Moorish Cavalry,Arabian Nights,0.53
Colossus of Sardia,Antiquities,13.62
Coral Helm,Antiquities,1.35
Golgothian Sylex,Antiquities,14.73
Jalum Tome,Antiquities,11.69
Winding Canyons,Weatherlight,9.35
Mishra's War Machine,Antiquities,1.59
Ayesha Tanaka,Legends,3.42
Onulet,Antiquities,0.44
Mightstone,Antiquities,3.36
Rocket Launcher,Antiquities,0.92
Su-Chi,Antiquities,31.99
The Rack,Antiquities,8.64
Urza's Avenger,Antiquities,2.93
Urza's Miter,Antiquities,15.43
Weakstone,Antiquities,3.75
Reanimate,Archenemy,20.22
Xenic Poltergeist,Antiquities,0.45
Etched Champion,Modern Masters 2015 Edition,3.32
Sarkhan Vol,Modern Masters,10.79
Argivian Archaeologist,Antiquities,75.10
Damping Field,Antiquities,7.30
Thalakos Deceiver,Stronghold,5.88
Stronghold Assassin,Stronghold,0.57
Conduit of Ruin,Battle for Zendikar,0.64
"Braids, Conjurer Adept",Planar Chaos,2.81
"Teneb, the Harvester",Planar Chaos,1.54
"Intet, the Dreamer",Planar Chaos,2.03
Magus of the Coffers,Planar Chaos,1.47
Logic Knot,Future Sight,2.02
Graven Cairns,Future Sight,7.24
Utopia Mycon,Future Sight,2.17
"Trostani, Selesnya's Voice",Return to Ravnica,3.59
Supreme Exemplar,Morningtide,0.45
Blazing Archon,Commander 2016,0.88
Rhys the Exiled,Morningtide,2.65
Kinsbaile Borderguard,Morningtide,1.38
Boldwyr Heavyweights,Morningtide,0.53
"Elspeth, Sun's Champion",Theros,9.89
Tundra,Unlimited Edition,389.55
Medomai the Ageless,Theros,0.89
Green Sun's Zenith,Mirrodin Besieged,6.13
"Treva, the Renewer",Invasion,1.12
Spear of Heliod,Theros,0.76
"Polukranos, World Eater",Theros,0.89
Temple of Silence,Theros,1.61
Darkheart Sliver,Planar Chaos,1.66
Temple of Triumph,Theros,1.44
"Nykthos, Shrine to Nyx",Theros,8.61
Fellwar Stone,The Dark,4.90
Skull of Orm,The Dark,0.61
Arcane Denial,Commander 2016,2.42
Grave Robbers,The Dark,1.35
Bogardan Hellkite,Commander 2014,0.77
Nameless Race,The Dark,1.21
Leviathan,The Dark,0.94
Dictate of Kruphix,Journey into Nyx,1.30
Psychic Allergy,The Dark,1.10
Elves of Deep Shadow,The Dark,2.98
Niall Silvain,The Dark,2.70
Awakening,Stronghold,3.20
Holy Light,The Dark,0.43
Goldmeadow,Planechase,3.60
Panopticon,Planechase,3.93
Mijae Djinn,Arabian Nights,16.04
Tivadar's Crusade,The Dark,0.63
Witch Hunter,The Dark,0.86
"Kalitas, Bloodchief of Ghet",Zendikar,8.70
Knight of the White Orchid,Shards of Alara,1.67
Fatestitcher,Shards of Alara,1.12
Kasimir the Lone Wolf,Legends,0.83
Lady Caleria,Legends,14.37
Lady Orca,Legends,0.71
Lord Magnus,Legends,0.92
Nebuchadnezzar,Legends,21.99
Pavel Maliki,Legends,0.59
Greater Gargadon,Modern Masters,3.49
Flickerwisp,Modern Masters,1.47
Thunder Spirit,Legends,116.94
Sir Shandlar of Eberyn,Legends,0.69
Reverent Silence,Nemesis,0.22
Sivitri Scarzam,Legends,0.61
Sunastian Falconer,Legends,1.09
The Lady of the Mountain,Legends,1.01
Tor Wauki,Legends,0.46
Tuknir Deathlock,Legends,14.32
Ur-Drago,Legends,12.99
Stangg,Legends,11.33
Crimson Kobolds,Legends,0.79
Desert Twister,Arabian Nights,11.95
Sylvan Caryatid,Theros,1.95
Wrath of God,Revised Edition,6.00
Groundskeeper,Ninth Edition,0.28
Giant Growth,Limited Edition Alpha,112.50
Blasphemous Act,Commander 2016,3.17
Consuming Aberration,Commander 2016,1.84
Imperial Seal,Portal Three Kingdoms,497.47
Angel of Finality,Commander 2013 Edition,1.99
Arcane Denial,Commander 2013 Edition,2.99
Arcane Sanctum,Commander 2013 Edition,1.07
Army of the Damned,Commander 2013 Edition,2.23
Augury Adept,Commander 2013 Edition,0.37
Bane of Progress,Commander 2013 Edition,2.64
Blue Sun's Zenith,Commander 2013 Edition,1.01
Boros Charm,Commander 2013 Edition,3.33
Cultivate,Commander 2013 Edition,1.49
Decree of Pain,Commander 2013 Edition,2.29
Divinity of Pride,Commander 2013 Edition,2.23
Flickerform,Commander 2013 Edition,0.49
Fog Bank,Commander 2013 Edition,0.80
Goblin Bombardment,Commander 2013 Edition,1.51
Greed,Commander 2013 Edition,0.85
Llanowar Reborn,Commander 2013 Edition,0.35
Mana Clash,Ninth Edition,0.55
Mirror Entity,Commander 2013 Edition,1.01
Mosswort Bridge,Commander 2013 Edition,0.69
Myr Battlesphere,Commander 2013 Edition,0.59
"Nekusar, the Mindrazer",Commander 2013 Edition,3.66
Nevinyrral's Disk,Commander 2013 Edition,1.21
Ophiomancer,Commander 2013 Edition,4.49
Phyrexian Delver,Commander 2013 Edition,0.44
Propaganda,Commander 2013 Edition,4.94
"Prossh, Skyraider of Kher",Commander 2013 Edition,1.22
Rampaging Baloths,Commander 2013 Edition,1.12
Sanguine Bond,Commander 2013 Edition,2.03
Seaside Citadel,Commander 2013 Edition,0.86
Serra Avatar,Commander 2013 Edition,0.79
Sharuum the Hegemon,Commander 2013 Edition,0.74
Sol Ring,Commander 2013 Edition,2.82
Spellbreaker Behemoth,Commander 2013 Edition,0.78
Springjack Pasture,Commander 2013 Edition,1.26
Sudden Demise,Commander 2013 Edition,0.89
Sun Droplet,Commander 2013 Edition,1.21
Sword of the Paruns,Commander 2013 Edition,0.47
"Sydri, Galvanic Genius",Commander 2013 Edition,0.77
Tempt with Discovery,Commander 2013 Edition,3.98
Tempt with Vengeance,Commander 2013 Edition,5.66
Thousand-Year Elixir,Commander 2013 Edition,4.83
Unexpectedly Absent,Commander 2013 Edition,0.94
Vampire Nighthawk,Commander 2013 Edition,0.76
Wall of Reverence,Commander 2013 Edition,2.72
Warstorm Surge,Commander 2013 Edition,0.58
Wash Out,Commander 2013 Edition,0.85
Well of Lost Dreams,Commander 2013 Edition,2.27
Chain Lightning,Eternal Masters,3.56
Exalted Angel,Onslaught,1.74
Beetleback Chief,Eternal Masters,0.25
Tarox Bladewing,Future Sight,0.47
Angelic Field Marshal,Commander 2014,0.79
Grand Melee,Onslaught,0.44
Utopia Sprawl,Dissension,4.74
Glarecaster,Onslaught,0.43
Duress,Media Promos,30.63
Harsh Mercy,Onslaught,4.86
Azorius Chancery,Magic: The Gathering-Commander,0.52
Supreme Inquisitor,Onslaught,3.13
Gratuitous Violence,Onslaught,2.02
Words of Wilding,Onslaught,0.58
Slate of Ancestry,Onslaught,2.25
Grinning Demon,Onslaught,0.46
Blistering Firecat,Onslaught,1.25
Aurification,Onslaught,2.65
Yahenni's Expertise,Aether Revolt,0.73
Brawn,Judgment,0.59
Words of Worship,Onslaught,0.80
Exploration,Conspiracy,16.62
Plains (Clouds Left),Portal,0.49
Ghostly Flicker,Avacyn Restored,0.24
Unholy Grotto,Onslaught,5.90
Polar Kraken,Ice Age,1.59
Dark Ritual,Limited Edition Alpha,69.98
Braid of Fire,Coldsnap,9.96
Siege-Gang Commander,Scourge,1.89
Gatekeeper of Malakir,Duel Decks: Sorin vs. Tibalt,1.63
Hellspark Elemental,Duel Decks: Sorin vs. Tibalt,1.05
Mortify,Duel Decks: Sorin vs. Tibalt,0.82
Canopy Vista,Battle for Zendikar,1.55
Spectral Procession,Duel Decks: Sorin vs. Tibalt,0.43
Swamp (37),Duel Decks: Sorin vs. Tibalt,0.29
Tainted Field,Duel Decks: Sorin vs. Tibalt,0.55
Twilight Drover,Duel Decks: Sorin vs. Tibalt,1.13
Vampire Nighthawk,Duel Decks: Sorin vs. Tibalt,0.76
Render Silent,Dragon's Maze,1.01
Warden of the First Tree,Fate Reforged,0.81
Goblin Bushwhacker,Zendikar,1.21
"Kataki, War's Wage",Saviors of Kamigawa,3.25
Hedron Archive,Battle for Zendikar,0.69
Academy Ruins,Time Spiral,21.44
Mystic Speculation,Future Sight,1.48
Desert,"Time Spiral ""Timeshifted""",0.81
Pendelhaven,"Time Spiral ""Timeshifted""",8.40
Beast Within,Commander 2016,1.33
Ghost Council of Orzhova,Guildpact,0.75
Zombify,Magic Player Rewards,0.91
Brood Sliver,Legions,3.15
Dragon Token (Onslaught),Magic Player Rewards,3.02
Elemental Mastery,Shadowmoor,3.96
Oona's Prowler,Lorwyn,2.77
Familiar's Ruse,Lorwyn,0.55
Ceaseless Searblades,Lorwyn,0.25
Last Breath,Mercadian Masques,0.24
Springleaf Drum,Lorwyn,0.94
Rift Bolt,Duel Decks: Mind vs. Might,1.19
Spinerock Knoll,Lorwyn,1.08
AEther Membrane,Duel Decks: Venser vs. Koth,0.86
Red Sun's Zenith,Mirrodin Besieged,0.67
Merchant Scroll,Eighth Edition,3.93
Mad Auntie,Lorwyn,0.55
Swamp (238) ,Shards of Alara,0.99
Cairn Wanderer,Lorwyn,2.17
Wren's Run Packmaster,Lorwyn,0.90
Cosmic Horror,Legends,5.34
Boggart Mob,Lorwyn,0.60
Memnite,Scars of Mirrodin,1.66
Scavenging Ghoul,Limited Edition Beta,3.95
Virulent Sliver,Future Sight,0.52
Gibbering Descent,Future Sight,0.61
Crib Swap,Lorwyn,0.40
Swords to Plowshares,Limited Edition Alpha,199.39
"Kira, Great Glass-Spinner",Betrayers of Kamigawa,15.60
Shriekmaw,Lorwyn,1.12
Gilt-Leaf Palace,Lorwyn,14.53
Mycoloth,Shards of Alara,1.89
Martial Coup,Conflux,1.98
Knotvine Mystic,Conflux,0.45
Maelstrom Pulse,Alara Reborn,20.66
Malfegor,Conflux,1.40
Scepter of Fugue,Conflux,0.39
Whispersilk Cloak,Magic 2011,0.67
"Selvala, Heart of the Wilds",Conspiracy: Take the Crown,16.37
Essence Sliver,Legions,2.04
Scion of Darkness,Legions,1.53
Planar Guide,Legions,0.44
Raven Guild Master,Scourge,1.33
Dragon Mage,Scourge,1.66
Birds of Paradise,Unlimited Edition,93.04
Feeding Grounds,Planechase,3.85
Glimmervoid Basin,Planechase,3.77
Grixis,Planechase,3.79
Sanctum of Serra,Planechase,3.98
Velis Vel,Planechase,3.64
Minamo,Planechase,3.81
Tazeem,Planechase,25.29
The Great Forest,Planechase,4.04
Fields of Summer,Planechase,3.72
The Fourth Sphere,Planechase,3.42
Naya,Planechase,3.87
Llanowar,Planechase,3.72
Stifle,Conspiracy,3.87
Furnace of Rath,Planechase,1.58
Grave Pact,Planechase,14.79
Relentless Assault,Planechase,0.65
Forgotten Ancient,Planechase,1.71
Kaalia of the Vast,Magic: The Gathering-Commander,23.51
Seat of the Synod,Planechase,1.53
Tree of Tales,Planechase,0.77
Mage Slayer,Planechase,1.89
"Animar, Soul of Elements",Magic: The Gathering-Commander,30.99
Door to Nothingness,Planechase,1.20
Arcbound Crusher,Planechase,1.10
Darksteel Forge,Planechase,9.30
Fabricate,Planechase,3.96
Great Furnace,Planechase,1.45
Helldozer,Planechase,1.66
"Razia, Boros Archangel",Planechase,1.48
Akroma's Vengeance,Planechase,1.24
Rorix Bladewing,Planechase,0.65
Goblin Offensive,Planechase,1.90
Rolling Thunder,Planechase,0.79
Flamekin Harbinger,Planechase,2.78
Profane Command,Planechase,0.83
Leechridden Swamp,Planechase,1.25
Prison Term,Planechase,1.56
Search for Tomorrow,Planechase,0.72
Undead Warchief,Planechase,6.47
Phyrexian Arena,Planechase,6.06
Corpse Harvester,Planechase,3.33
Rock Hydra,Revised Edition,0.53
Balance,Revised Edition,1.22
Crusade,Revised Edition,1.04
Northern Paladin,Revised Edition,0.39
Smoke,Unlimited Edition,4.56
Wall of Air,Limited Edition Alpha,6.74
Grinding Station,Fifth Dawn,0.78
Plains (No Flowers),Portal,0.60
Adarkar Valkyrie,Coldsnap,1.13
Sulfurous Springs,Tenth Edition,6.08
Rite of Flame,Coldsnap,1.09
Quest for the Nihil Stone,Worldwake,1.25
Coldsteel Heart,Coldsnap,1.49
Fury of the Horde,Coldsnap,1.19
Devastating Summons,Rise of the Eldrazi,0.59
Prosperity,Classic Sixth Edition,0.44
Panglacial Wurm,Coldsnap,2.59
Chameleon Colossus,Archenemy,4.48
Brooding Saurian,Coldsnap,0.44
Wrath of God,Classic Sixth Edition,5.44
Delusions of Mediocrity,Seventh Edition,0.45
Jokulhaups,Classic Sixth Edition,3.23
Meekstone,Classic Sixth Edition,2.78
Mystical Tutor,Classic Sixth Edition,6.59
Greed,Classic Sixth Edition,0.60
Forbidden Crypt,Classic Sixth Edition,0.39
Teferi's Puzzle Box,Classic Sixth Edition,5.36
Worldly Tutor,Classic Sixth Edition,12.38
Servant of the Conduit,KALADESH,0.54
Thoughtlace,Limited Edition Alpha,99.99
Unmake,Eventide,0.90
Matter Reshaper,Oath of the Gatewatch,2.25
Knollspine Dragon,Shadowmoor,6.15
Gaea's Touch,The Dark,0.53
Nevinyrral's Disk,Commander 2016,1.00
Feral Hydra,Shards of Alara,1.54
Brainstorm,Eternal Masters,1.08
Regal Force,Eventide,2.84
Prince of Thralls,Shards of Alara,3.41
Regrowth,Revised Edition,1.78
Crumbling Necropolis,Shards of Alara,0.67
Scute Mob,Modern Masters 2015 Edition,0.62
Death Baron,Shards of Alara,21.73
Crucible of Fire,Shards of Alara,0.99
Flying Men,Arabian Nights,6.73
Unstable Mutation,Arabian Nights,1.69
Aladdin's Ring,Arabian Nights,12.11
City in a Bottle,Arabian Nights,215.50
Ebony Horse,Arabian Nights,10.00
Sandals of Abdallah,Arabian Nights,12.50
Cuombajj Witches,Arabian Nights,4.99
Erg Raiders,Arabian Nights,0.90
Khabal Ghoul,Arabian Nights,42.00
Sorceress Queen,Arabian Nights,19.25
Dandan,Arabian Nights,0.79
Old Man of the Sea,Arabian Nights,234.99
Sindbad,Arabian Nights,17.42
Island (169) ,Portal Three Kingdoms,2.29
Wrath of God,Fifth Edition,5.42
Goblin King,Seventh Edition,1.57
Barl's Cage,The Dark,0.50
Singing Tree,Arabian Nights,55.53
Wyluli Wolf,Arabian Nights,0.90
Nightmare,Unlimited Edition,12.52
Ali from Cairo,Arabian Nights,159.99
"Emrakul, the Aeons Torn",Rise of the Eldrazi,44.52
Bird Maiden,Arabian Nights,0.58
Desert Nomads,Arabian Nights,0.52
Magnetic Mountain,Arabian Nights,3.42
Army of Allah,Arabian Nights,3.86
Scion of Oona,Modern Masters,3.23
Camel,Arabian Nights,0.82
King Suleiman,Arabian Nights,142.50
War Elephant,Arabian Nights,0.62
Bazaar of Baghdad,Arabian Nights,1337.49
Cruel Bargain,Portal,7.31
City of Brass,Arabian Nights,230.00
Diamond Valley,Arabian Nights,428.99
Swamp - Unglued,Unglued,5.03
Fungal Bloom,Fallen Empires,0.86
Tortured Existence,Stronghold,2.05
Dream Halls,Stronghold,8.60
Constant Mists,Stronghold,3.50
Auriok Windwalker,Fifth Dawn,0.47
Fist of Suns,Fifth Dawn,3.13
Endless Whispers,Fifth Dawn,0.98
Proteus Staff,Mirrodin,3.24
Vedalken Orrery,Fifth Dawn,14.75
Eon Hub,Fifth Dawn,0.85
Rite of Passage,Fifth Dawn,2.47
Night's Whisper,Fifth Dawn,1.15
Dakkon Blackblade,Chronicles,0.63
Serpent Generator,Chronicles,0.50
Swords to Plowshares,Ice Age,2.35
Jester's Cap,Ice Age,2.61
Minion of Leshrac,Ice Age,0.69
"Sekki, Seasons' Guide",Saviors of Kamigawa,1.94
Zur's Weirding,Ice Age,0.50
Trailblazer's Boots,Zendikar,0.46
Blade of the Bloodchief,Zendikar,2.60
Back to Basics,Urza's Saga,27.32
Worldly Tutor,Mirage,11.94
